Date,Open,High,Low,Close,Adj Close,Volume,returns
2006-01-03,125.190002,127.0,124.389999,126.699997,90.987633,73256700,
2006-01-04,126.860001,127.489998,126.699997,127.300003,91.418526,51899600,0.47357315032032776
2006-01-05,127.150002,127.589996,126.879997,127.379997,91.475952,47307500,0.06281658927644873
2006-01-06,128.020004,128.580002,127.360001,128.440002,92.237206,62885900,0.8321903006814235
2006-01-09,128.419998,129.059998,128.380005,128.770004,92.474144,43527400,0.2568789865555976
2006-01-10,128.389999,128.979996,128.259995,128.899994,92.567551,44960800,0.10100877495011762
2006-01-11,129.020004,129.440002,128.729996,129.309998,92.861992,49598900,0.3180823051049497
2006-01-12,129.080002,129.279999,128.440002,128.800003,92.495712,40509200,-0.39443478662400944
2006-01-13,128.570007,128.899994,128.199997,128.679993,92.409531,44856700,-0.09317296784525642
2006-01-17,128.199997,128.419998,127.809998,128.330002,92.158218,52066600,-0.2719557141784401
2006-01-18,127.580002,128.899994,127.160004,127.82,91.791946,75067600,-0.3974382403965415
2006-01-19,128.130005,128.770004,127.809998,128.309998,92.143806,81530400,0.38332339092146395
2006-01-20,128.279999,128.309998,125.970001,125.970001,90.463394,114957800,-1.823684166030659
2006-01-23,126.209999,126.82,126.129997,126.419998,90.78656,67017400,0.35723399898084374
2006-01-24,126.629997,127.150002,126.419998,126.550003,90.879898,53008800,0.10281037193171638
2006-01-25,127.040001,127.18,125.839996,126.660004,90.958923,87747700,0.08695542329943962
2006-01-26,127.25,127.669998,126.760002,127.360001,91.461609,71294000,0.5526516623333366
2006-01-27,127.660004,128.660004,127.449997,128.539993,92.30899,65771200,0.9264881836924532
2006-01-30,128.440002,128.809998,128.350006,128.440002,92.237206,33709600,-0.0777649067550179
2006-01-31,128.320007,128.539993,127.489998,127.5,91.562119,72937000,-0.7319031324517833
2006-02-01,127.82,128.429993,127.720001,128.389999,92.201302,63561000,0.6980867273288061
2006-02-02,128.100006,128.139999,126.800003,126.900002,91.131271,83626900,-1.1605378414287437
2006-02-03,126.580002,128.389999,126.139999,126.269997,90.678864,86040400,-0.4964344237007201
2006-02-06,126.440002,126.800003,126.169998,126.599998,90.915825,45511900,0.2613188890412177
2006-02-07,126.379997,126.660004,125.400002,125.480003,90.111526,71208100,-0.8846633685609784
2006-02-08,125.849998,128.100006,125.599998,126.620003,90.930168,59422200,0.9084764583833449
2006-02-09,126.919998,127.599998,126.370003,126.410004,90.779381,62023300,-0.16582725328297965
2006-02-10,126.43,127.129997,125.449997,126.639999,90.944542,64508700,0.1819366889051599
2006-02-13,126.599998,126.790001,125.949997,126.410004,90.779381,52308700,-0.18160628045166272
2006-02-14,126.459999,128.029999,126.209999,127.75,91.741684,90964400,1.0600457828634058
2006-02-15,127.68,128.320007,127.239998,128.199997,92.06485,85471300,0.3522564508408266
2006-02-16,128.339996,129.210007,128.179993,129.160004,92.754272,61017900,0.7488438855871582
2006-02-17,129.050003,129.160004,128.580002,128.809998,92.502953,40342600,-0.270951401569941
2006-02-21,129.110001,129.399994,128.289993,128.490005,92.273117,46456300,-0.24846341932457383
2006-02-22,128.770004,129.649994,128.649994,129.270004,92.833229,42326700,0.6070153672168788
2006-02-23,129.270004,129.639999,128.279999,129.080002,92.696823,43423200,-0.14693661038118755
2006-02-24,129.110001,129.479996,128.759995,129.410004,92.933807,36777400,0.2556549322084267
2006-02-27,129.399994,130.039993,129.279999,129.460007,92.969681,35858600,0.0386016683896262
2006-02-28,129.199997,129.910004,128.130005,128.229996,92.086388,74394800,-0.9500871579843251
2006-03-01,128.600006,129.490005,128.5,129.369995,92.905075,48641600,0.8890423631340516
2006-03-02,128.899994,129.419998,128.610001,129.360001,92.897865,60642300,-0.007760609417728492
2006-03-03,128.669998,130.070007,128.649994,128.759995,92.46698,73402500,-0.46382659063261
2006-03-06,129.139999,129.179993,127.849998,128.169998,92.043266,57478400,-0.45823276590195583
2006-03-07,127.860001,128.059998,127.400002,127.970001,91.899681,61780800,-0.15599728936172008
2006-03-08,127.699997,128.440002,127.18,128.240005,92.093567,66692400,0.21097570512784714
2006-03-09,128.279999,128.679993,127.379997,127.379997,91.475952,56313600,-0.6706385908583412
2006-03-10,127.709999,128.839996,127.440002,128.589996,92.344887,60490800,0.9499053915284605
2006-03-13,128.839996,129.160004,128.529999,128.830002,92.517273,45479100,0.18667628019297666
2006-03-14,128.710007,130.229996,128.610001,130.179993,93.486732,69877300,1.0478681099906684
2006-03-15,130.149994,130.860001,129.850006,130.759995,93.903275,53398900,0.44556376192506075
2006-03-16,131.009995,131.470001,130.839996,131.029999,94.097176,65526400,0.206490135727444
2006-03-17,130.679993,130.899994,130.380005,130.619995,94.175743,47286800,0.08349559821008157
2006-03-20,130.639999,130.899994,130.210007,130.410004,94.02433,45538500,-0.16077706973863792
2006-03-21,130.369995,130.990005,129.449997,129.589996,93.433105,87102700,-0.6288000137836702
2006-03-22,129.509995,130.509995,129.449997,130.380005,94.002716,51605700,0.6096457995268478
2006-03-23,130.259995,130.389999,129.660004,130.110001,93.808052,46704200,-0.20708337831431
2006-03-24,129.990005,130.570007,129.740005,130.210007,93.880119,43209200,0.07682389567154058
2006-03-27,130.029999,130.279999,129.740005,130.020004,93.743179,32523000,-0.14586687944014853
2006-03-28,129.929993,130.529999,129.050003,129.220001,93.166359,82079900,-0.6153194356679492
2006-03-29,129.410004,130.5,129.289993,130.029999,93.750381,61505700,0.6268593151740554
2006-03-30,130.110001,130.979996,129.550003,129.800003,93.584511,70571700,-0.17692728096753152
2006-03-31,130.020004,130.240005,129.369995,129.830002,93.606186,62925600,0.023160883962924927
2006-04-03,130.070007,130.869995,129.490005,129.729996,93.534088,61624700,-0.07702268736811124
2006-04-04,129.729996,130.729996,129.360001,130.559998,94.132484,54809300,0.6397624788943235
2006-04-05,130.610001,131.279999,130.380005,131.009995,94.45694,50607200,0.3446801637572827
2006-04-06,130.850006,131.210007,130.190002,130.869995,94.356018,57906200,-0.10684445208578586
2006-04-07,131.059998,131.399994,129.350006,129.539993,93.397079,80180900,-1.0162987166330018
